,movie,year,imdb,metascore,votes
0,Gladiator,(2000),8.5,67,1175580
1,Memento,(2000),8.5,80,1006517
2,Snatch,(2000),8.3,55,702010
3,Requiem for a Dream,(2000),8.3,68,682567
4,X-Men,(2000),7.4,64,522452
5,Cast Away,(2000),7.8,73,460869
6,American Psycho,(2000),7.6,64,419080
7,Unbreakable,(2000),7.3,62,311842
8,Meet the Parents,(2000),7.0,73,288506
9,Mission: Impossible II,(2000),6.1,59,283838
10,"O Brother, Where Art Thou?",(2000),7.8,69,258712
11,Gone in Sixty Seconds,(2000),6.5,35,241623
12,"Crouching Tiger, Hidden Dragon",(2000),7.9,93,236527
13,The Patriot,(2000),7.2,63,232783
14,Almost Famous,(2000),7.9,90,231212
15,Pitch Black,(2000),7.1,49,211322
16,Scary Movie,(2000),6.2,48,210774
17,"Me, Myself & Irene",(2000),6.6,49,206304
18,Final Destination,(2000),6.7,36,206076
19,The Beach,(I) (2000),6.6,43,203624
20,Amores Perros,(2000),8.1,83,203156
21,Traffic,(2000),7.6,86,183930
22,Remember the Titans,(2000),7.8,48,180894
23,How the Grinch Stole Christmas,(2000),6.1,46,177803
24,What Women Want,(2000),6.4,47,177145
25,Chocolat,(2000),7.3,64,165869
26,Miss Congeniality,(2000),6.2,43,163754
27,Charlie's Angels,(2000),5.5,52,160269
28,Chicken Run,(2000),7.0,88,160118
29,Battle Royale,(2000),7.7,81,156748
30,High Fidelity,(2000),7.5,79,156381
31,The Emperor's New Groove,(2000),7.3,70,155224
32,Erin Brockovich,(2000),7.3,73,154801
33,Road Trip,(2000),6.5,55,146301
34,The Perfect Storm,(2000),6.4,59,144841
35,"Dude, Where's My Car?",(2000),5.5,30,127016
36,Hollow Man,(2000),5.7,24,113004
37,Scream 3,(2000),5.6,56,112065
38,Billy Elliot,(2000),7.7,74,111709
39,Shanghai Noon,(2000),6.6,77,109583
40,The 6th Day,(2000),5.9,49,108940
41,What Lies Beneath,(2000),6.6,51,108523
42,Pay It Forward,(2000),7.2,40,105862
43,In the Mood for Love,(2000),8.1,85,101774
44,The Whole Nine Yards,(2000),6.7,47,100685
45,Coyote Ugly,(2000),5.7,27,99373
46,Men of Honor,(2000),7.2,56,99336
47,The Family Man,(2000),6.7,42,95726
48,Frequency,(2000),7.4,67,92870
49,Gladiator,(2000),8.5,67,1175580
50,Memento,(2000),8.5,80,1006517
51,Snatch,(2000),8.3,55,702010
52,Requiem for a Dream,(2000),8.3,68,682567
53,X-Men,(2000),7.4,64,522452
54,Cast Away,(2000),7.8,73,460869
55,American Psycho,(2000),7.6,64,419080
56,Unbreakable,(2000),7.3,62,311842
57,Meet the Parents,(2000),7.0,73,288506
58,Mission: Impossible II,(2000),6.1,59,283838
59,"O Brother, Where Art Thou?",(2000),7.8,69,258712
60,Gone in Sixty Seconds,(2000),6.5,35,241623
61,"Crouching Tiger, Hidden Dragon",(2000),7.9,93,236527
62,The Patriot,(2000),7.2,63,232783
63,Almost Famous,(2000),7.9,90,231212
64,Pitch Black,(2000),7.1,49,211322
65,Scary Movie,(2000),6.2,48,210774
66,"Me, Myself & Irene",(2000),6.6,49,206304
67,Final Destination,(2000),6.7,36,206076
68,The Beach,(I) (2000),6.6,43,203624
69,Amores Perros,(2000),8.1,83,203156
70,Traffic,(2000),7.6,86,183930
71,Remember the Titans,(2000),7.8,48,180894
72,How the Grinch Stole Christmas,(2000),6.1,46,177803
73,What Women Want,(2000),6.4,47,177145
74,Chocolat,(2000),7.3,64,165869
75,Miss Congeniality,(2000),6.2,43,163754
76,Charlie's Angels,(2000),5.5,52,160269
77,Chicken Run,(2000),7.0,88,160118
78,Battle Royale,(2000),7.7,81,156748
79,High Fidelity,(2000),7.5,79,156381
80,The Emperor's New Groove,(2000),7.3,70,155224
81,Erin Brockovich,(2000),7.3,73,154801
82,Road Trip,(2000),6.5,55,146301
83,The Perfect Storm,(2000),6.4,59,144841
84,"Dude, Where's My Car?",(2000),5.5,30,127016
85,Hollow Man,(2000),5.7,24,113004
86,Scream 3,(2000),5.6,56,112065
87,Billy Elliot,(2000),7.7,74,111709
88,Shanghai Noon,(2000),6.6,77,109583
89,The 6th Day,(2000),5.9,49,108940
90,What Lies Beneath,(2000),6.6,51,108523
91,Pay It Forward,(2000),7.2,40,105862
92,In the Mood for Love,(2000),8.1,85,101774
93,The Whole Nine Yards,(2000),6.7,47,100685
94,Coyote Ugly,(2000),5.7,27,99373
95,Men of Honor,(2000),7.2,56,99336
96,The Family Man,(2000),6.7,42,95726
97,Frequency,(2000),7.4,67,92870
